ticker,kind,name,proxyAddress,secondaryProxyAddress,decimals,heartbeat,path,marketHours
AAPL,rh_total_return,Robinhood AAPL / USD,0x6B22A786bAa607d76728168703a39Ea9C99f2cD0,0x4bDbb3150014c6Ab2C6D9347B0779c49015a2f3f,8,86400,robinhood-aapl-usd-shared-svr,us_equities_24/5
AMD,rh_total_return,Robinhood AMD / USD,0x943A29E7ae51A4798823ca9eEd2ed533B2A22C72,0xF6d57763DFa625F4A413485261Ab2E71Ff4304CF,8,86400,robinhood-amd-usd-shared-svr,us_equities_24/5
AMZN,rh_total_return,Robinhood AMZN / USD,0xD5a1508ceD74c084eBf3cBe853e2C968fB2a651C,0x9244830430bC7D9C9A48dd47603F24AD61f7c56e,8,86400,robinhood-amzn-usd-shared-svr,us_equities_24/5
ASML,rh_total_return,Robinhood ASML / USD,0xB4106147E8cce40b7d46124090d373A71b70f87D,0x3eFBba343e2b1cF9ed4d4D5768e20B70307Aa8c9,8,86400,robinhood-asml-usd-shared-svr,us_equities_24/5
BABA,rh_total_return,Robinhood BABA / USD,0x62Cc8F9b5f56a33c9C8A60c8B92779f523c4E984,0xDB69948B26050818E8c9f43300F78b2582e67260,8,86400,robinhood-baba-usd-shared-svr,us_equities_24/5
CLSK,rh_total_return,Robinhood CLSK / USD,0x810c12D3a554Bc47fd39597Fe3b3AAC4941F50eF,0x951C5E9a2a065053035D4B812b1f6cA7e64c5102,8,86400,robinhood-clsk-usd-shared-svr,us_equities_24/5
COIN,rh_total_return,Robinhood COIN / USD,0xA3a468A452940B7D6b69991207B508c609a98Ef2,0xA7F7D79D578fb007384BaDF42c8E1D76a6a63bBD,8,86400,robinhood-coin-usd-shared-svr,us_equities_24/5
CRCL,rh_total_return,Robinhood CRCL / USD,0x6652eDf64bA3731C4F2D3ce821A0Fb1f1f6b482a,0x025Ba3B3569Ca7d15Da7BFC1648F13F06A072851,8,86400,robinhood-crcl-usd-shared-svr,us_equities_24/5
CRWV,rh_total_return,Robinhood CRWV / USD,0xe1b3aABCAFAd1c94708dc1367dcfF8Aa4407487C,0x288b837A17fED1aa00c1df832ef79D0C77336c10,8,86400,robinhood-crwv-usd-shared-svr,us_equities_24/5
DELL,rh_total_return,Robinhood DELL-USD,0x1C6c8cADBe02E19129c39dDB92281cE4c0bf206b,0xe9B94828424a8Efe6e773c28AB5Fd486851867c8,8,86400,rhdell-usd-shared-svr,us_equities_24/5
EWY,rh_total_return,Robinhood EWY / USD,0xEFdf54610B62A7753Ec30bDc380847c12D32e1D1,0x26bca2a89D2D23787ada8F91B849608c51A26977,8,86400,robinhood-ewy-usd-shared-svr,us_equities_24/5
GME,rh_total_return,Robinhood GME / USD,0x27C71df6A64fB476468EdF256CF72c038baB5B67,0x42A4652D447A5B0bccF3B265bE8530b85A33b3A2,8,86400,robinhood-gme-usd-shared-svr,us_equities_24/5
GOOGL,rh_total_return,Robinhood GOOGL / USD,0xF6f373a037c30F0e5010d854385cA89185AE638b,0xA04EE5c4c8827F17e82f93bE9e19DeA221A749a8,8,86400,robinhood-googl-usd-shared-svr,us_equities_24/5
